cid	canonicalsmiles
155792348	C1=CC(=CC(=C1)C2=CSC(=N2)NC(=O)CNC(=O)C3=CC=C(C=C3)N)CCC4=CC=NC=C4
54841777	C1CCC(CC1)NC(=O)C2=CC(=CC=C2)NC(=O)CNC3=CC=C(C=C3)C(=O)N4CCCCC4
155792345	C1=CC(=CC(=C1)C2=CSC(=N2)NC(=O)CNC(=O)C3=CC=C(C=C3)N)C4=CC=NC=C4
45861272	C1=CC=C(C=C1)CNC(=O)C2=CC=CC=C2NC(=O)CNC(=O)NCC3=CC=CC=C3
54844164	C1CCC(CC1)NC(=O)C2=CC(=CC=C2)NC(=O)CNC3=CC=C(C=C3)C(=O)NCC4=CC=CC=C4
8842407	CC1CCN(CC1)C2=CC=C(C=C2)NC(=O)COC(=O)CNC(=O)CC3=CC=CC=C3
56295120	CC1=CC(=C(C=C1)NC(=O)CNC(=O)C2CCCN2C(=O)C3=CC=C(C=C3)Br)Cl
8171885	CC1=C(C(=CC=C1)NC(=O)CNC(=O)COC(=O)C2=CC(=NN2)C3=CC=CC=C3)C
54844255	CCNC(=O)C1=CC=C(C=C1)NC(=O)CNC2=CC=CC(=C2)C(=O)NCC3=CC=CC=C3
54811489	CC1CCN(CC1)C(=O)C2=CC(=CC=C2)NC(=O)CNC3=C(C=C(C=C3)C)C
